filename,class_name,num_objects
NUTS0062.png,nuts,1
FLOUR0096.png,flour,1
CAKE0140.png,cake,2
NUTS0148.png,nuts,1
MILK0036.png,milk,2
TEA0260.png,tea,2
CEREAL0189.png,cereal,1
JAM0107.png,jam,3
CANDY0326.png,candy,1
CHOCOLATE0070.png,chocolate,2
PASTA0023.png,pasta,1
FISH0090.png,fish,8
CAKE0149.png,cake,2
TOMATO_SAUCE0154.png,tomato_sauce,10
VINEGAR0007.png,vinegar,2
CEREAL0109.png,cereal,5
CAKE0104.png,cake,2
OIL0095.png,oil,2
FLOUR0069.png,flour,1
CANDY0339.png,candy,6
SUGAR0013.png,sugar,1
OIL0124.png,oil,4
CHIPS0075.png,chips,3
TEA0172.png,tea,2
COFFEE0065.png,coffee,1
JAM0018.png,jam,2
CEREAL0035.png,cereal,2
SUGAR0043.png,sugar,3
PASTA0105.png,pasta,2
NUTS0120.png,nuts,1
VINEGAR0008.png,vinegar,1
CHIPS0054.png,chips,2
CHOCOLATE0133.png,chocolate,3
NUTS0000.png,nuts,1
CORN0002.png,corn,4
CANDY0218.png,candy,3
CEREAL0078.png,cereal,2
OIL0122.png,oil,2
PASTA0133.png,pasta,2
COFFEE0147.png,coffee,2
MILK0043.png,milk,2
HONEY0000.png,honey,2
OIL0059.png,oil,3
CHOCOLATE0247.png,chocolate,2
PASTA0080.png,pasta,3
BEANS0084.png,beans,2
FISH0101.png,fish,3
NUTS0043.png,nuts,2
RICE0049.png,rice,1
CHOCOLATE0299.png,chocolate,1
BEANS0033.png,beans,2
CANDY0058.png,candy,1
JAM0152.png,jam,2
RICE0047.png,rice,3
TEA0263.png,tea,2
WATER0226.png,water,5
CAKE0005.png,cake,1
OIL0139.png,oil,2
CANDY0206.png,candy,1
JUICE0101.png,juice,2
TOMATO_SAUCE0003.png,tomato_sauce,1
CHIPS0090.png,chips,2
WATER0116.png,water,4
PASTA0021.png,pasta,1
JUICE0025.png,juice,4
SODA0153.png,soda,6
TEA0114.png,tea,2
CANDY0197.png,candy,3
CAKE0018.png,cake,1
SPICES0080.png,spices,3
JAM0003.png,jam,8
SODA0023.png,soda,3
SUGAR0019.png,sugar,1
SODA0145.png,soda,4
CHIPS0033.png,chips,3
SPICES0016.png,spices,3
COFFEE0126.png,coffee,3
CANDY0090.png,candy,1
FISH0057.png,fish,2
SPICES0085.png,spices,4
JUICE0211.png,juice,2
TEA0138.png,tea,3
SODA0058.png,soda,3
SUGAR0113.png,sugar,8
CANDY0029.png,candy,1
WATER0160.png,water,2
CORN0051.png,corn,3
CHOCOLATE0165.png,chocolate,3
CORN0046.png,corn,5
JUICE0083.png,juice,3
HONEY0156.png,honey,2
TEA0070.png,tea,1
JUICE0079.png,juice,3
PASTA0156.png,pasta,2
WATER0147.png,water,2
TOMATO_SAUCE0040.png,tomato_sauce,3
FLOUR0033.png,flour,1
JUICE0077.png,juice,2
WATER0145.png,water,2
NUTS0166.png,nuts,1
CEREAL0012.png,cereal,1
TOMATO_SAUCE0124.png,tomato_sauce,2
WATER0177.png,water,2
BEANS0017.png,beans,2
HONEY0184.png,honey,1
PASTA0052.png,pasta,4
SPICES0034.png,spices,4
COFFEE0283.png,coffee,1
CHIPS0045.png,chips,4
RICE0001.png,rice,3
MILK0118.png,milk,2
TOMATO_SAUCE0100.png,tomato_sauce,2
FISH0014.png,fish,3
SODA0161.png,soda,1
CANDY0292.png,candy,2
CEREAL0131.png,cereal,1
TOMATO_SAUCE0140.png,tomato_sauce,1
SUGAR0047.png,sugar,2
WATER0067.png,water,3
CHOCOLATE0067.png,chocolate,2
BEANS0079.png,beans,1
MILK0077.png,milk,1
SPICES0083.png,spices,2
WATER0022.png,water,2
RICE0090.png,rice,1
